,,,,,
Year,State,Pounds,Metric Tons,Dollars,Collection
2006,RHODE ISLAND,"82,424",37,"4,609",Commercial
2007,CONNECTICUT,"90,254",41,"9,029",Commercial
2007,DELAWARE,"81,850",37,"6,283",Commercial
2007,MAINE,,,,Commercial
2007,MARYLAND,"13,740,758","6,233","1,377,744",Commercial
2007,MASSACHUSETTS,"5,513,813","2,501","522,847",Commercial
2007,NEW HAMPSHIRE,484,0,285,Commercial
2007,NEW JERSEY,"37,634,929","17,071","3,193,721",Commercial
2007,NEW YORK,"137,279",62,"22,225",Commercial
2007,NORTH CAROLINA,"1,134,208",514,"140,995",Commercial
2007,RHODE ISLAND,"8,948",4,"1,195",Commercial
2008,CONNECTICUT,"104,881",48,"10,488",Commercial
2008,DELAWARE,"72,970",33,"6,068",Commercial
2008,MAINE,"4,200,465","1,905","428,698",Commercial
2008,MARYLAND,"9,654,813","4,379","920,301",Commercial
2008,MASSACHUSETTS,"14,097,713","6,395","1,569,866",Commercial
2008,NEW HAMPSHIRE,408,0,151,Commercial
2008,NEW JERSEY,"33,838,941","15,349","2,236,566",Commercial
2008,NEW YORK,"114,773",52,"27,888",Commercial
2008,NORTH CAROLINA,"645,231",293,"67,718",Commercial
2008,RHODE ISLAND,"269,288",122,"44,116",Commercial
2009,CONNECTICUT,"170,907",78,"26,884",Commercial
2009,DELAWARE,"69,476",32,"5,592",Commercial
2009,MAINE,"166,942",76,"21,482",Commercial
2009,MARYLAND,"9,550,316","4,332","895,601",Commercial
2009,MASSACHUSETTS,"6,695,388","3,037","751,494",Commercial
2009,NEW HAMPSHIRE,33,0,10,Commercial
2009,NEW JERSEY,"34,266,347","15,543","4,064,585",Commercial
2009,NEW YORK,"321,876",146,"48,822",Commercial
2009,NORTH CAROLINA,"2,124,734",964,"233,804",Commercial
2009,RHODE ISLAND,"107,548",49,"19,664",Commercial
2010,CONNECTICUT,"42,489",19,"9,318",Commercial
2010,DELAWARE,"51,933",24,"4,758",Commercial
2010,MAINE,,,,Commercial
2010,MARYLAND,"15,461,410","7,013","728,569",Commercial
2010,MASSACHUSETTS,"4,948,437","2,245","602,219",Commercial
2010,NEW HAMPSHIRE,390,0,301,Commercial
2010,NEW JERSEY,"50,497,253","22,905","5,049,725",Commercial
2010,NEW YORK,"490,035",222,"85,508",Commercial
2010,NORTH CAROLINA,"1,299,150",589,"105,479",Commercial
2010,RHODE ISLAND,"78,149",35,"18,357",Commercial
2011,CONNECTICUT,"26,929",12,"7,305",Commercial
2011,DELAWARE,"64,566",29,"5,245",Commercial
2011,MAINE,,,,Commercial
2011,MARYLAND,"7,981,573","3,620","681,905",Commercial
2011,MASSACHUSETTS,"86,641",39,"87,977",Commercial
2011,NEW JERSEY,"74,324,485","33,713","5,945,959",Commercial
2011,NEW YORK,"313,339",142,"43,814",Commercial
2011,NORTH CAROLINA,"3,530,003","1,601","328,746",Commercial
2011,RHODE ISLAND,"83,899",38,"14,214",Commercial
2012,CONNECTICUT,"37,454",17,"9,513",Commercial
2012,DELAWARE,"140,375",64,"14,300",Commercial
2012,MAINE,,,,Commercial
2012,MARYLAND,"16,371,030","7,426","1,667,547",Commercial
2012,MASSACHUSETTS,"1,629,204",739,"189,485",Commercial
2012,NEW HAMPSHIRE,,,,Commercial
2012,NEW JERSEY,"85,457,890","38,763","7,226,118",Commercial
2012,NEW YORK,"232,673",106,"26,728",Commercial
2012,NORTH CAROLINA,"538,792",244,"82,363",Commercial
2012,RHODE ISLAND,"106,606",48,"18,300",Commercial
2013,CONNECTICUT,"6,703",3,"3,934",Commercial
2013,DELAWARE,"125,909",57,"12,341",Commercial
2013,MARYLAND,"7,682,317","3,485","903,449",Commercial
2013,MASSACHUSETTS,"2,301,539","1,044","177,968",Commercial
2013,NEW JERSEY,"39,819,342","18,062","7,442,435",Commercial
2013,NEW YORK,"1,149,300",521,"121,044",Commercial
2013,NORTH CAROLINA,"454,206",206,"74,991",Commercial
2013,RHODE ISLAND,"99,821",45,"17,732",Commercial
2014,CONNECTICUT,"36,552",17,"6,337",Commercial
2014,DELAWARE,"161,524",73,"16,445",Commercial
2014,MARYLAND,"8,353,684","3,789","1,379,392",Commercial
2014,MASSACHUSETTS,"2,218,570","1,006","166,036",Commercial
2014,NEW JERSEY,"43,881,091","19,904","5,774,334",Commercial
2014,NEW YORK,"774,783",351,"115,261",Commercial
2014,NORTH CAROLINA,"917,905",416,"148,678",Commercial
2014,RHODE ISLAND,"500,903",227,"62,767",Commercial
2015,CONNECTICUT,"81,387",37,"13,828",Commercial
2015,DELAWARE,"150,542",68,"16,087",Commercial
2015,MARYLAND,"8,785,713","3,985","1,222,197",Commercial
2015,MASSACHUSETTS,"2,928,427","1,328","233,728",Commercial
2015,NEW JERSEY,"72,106,979","32,708","10,687,188",Commercial
2015,NEW YORK,"1,414,440",642,"197,323",Commercial
2015,NORTH CAROLINA,"898,322",407,"154,385",Commercial
2015,RHODE ISLAND,"2,060,381",935,"183,467",Commercial
2016,CONNECTICUT,"66,992",30,"11,596",Commercial
2016,DELAWARE,"75,238",34,"7,843",Commercial
2016,MAINE,"4,372,166","1,983","1,230,783",Commercial
2016,MARYLAND,"6,473,115","2,936","1,035,094",Commercial
2016,MASSACHUSETTS,"3,063,055","1,389","374,367",Commercial
2016,NEW JERSEY,"52,816,776","23,958","8,607,178",Commercial
2016,NEW YORK,"1,637,913",743,"194,075",Commercial
2016,NORTH CAROLINA,"398,044",181,"76,863",Commercial
2016,RHODE ISLAND,"317,328",144,"34,832",Commercial
2017,CONNECTICUT,"203,138",92,"35,387",Commercial
2017,DELAWARE,"84,799",38,"8,938",Commercial
2017,MAINE,"2,413,434","1,095","681,840",Commercial
2017,MARYLAND,"3,568,447","1,619","648,195",Commercial
2017,MASSACHUSETTS,"3,696,974","1,677","637,244",Commercial
2017,NEW HAMPSHIRE,,,,Commercial
2017,NEW JERSEY,"98,654,475","44,749","16,650,640",Commercial
2017,NEW YORK,"1,634,042",741,"232,278",Commercial
2017,NORTH CAROLINA,"752,799",341,"160,181",Commercial
2017,RHODE ISLAND,"1,752,756",795,"136,893",Commercial
2018,CONNECTICUT,"849,690",385,"70,133",Commercial
2018,DELAWARE,"163,158",74,"17,082",Commercial
2018,MAINE,"5,720,620","2,595","1,440,624",Commercial
2018,MARYLAND,"4,388,403","1,991","732,878",Commercial
2018,MASSACHUSETTS,"5,679,209","2,576","871,617",Commercial
2018,NEW HAMPSHIRE,,,,Commercial
2018,NEW JERSEY,"84,791,590","38,461","12,913,185",Commercial
2018,NEW YORK,"471,087",214,"98,274",Commercial
2018,NORTH CAROLINA,"713,978",324,"175,007",Commercial
2018,RHODE ISLAND,"731,717",332,"58,921",Commercial
2019,CONNECTICUT,"133,202",60,"26,685",Commercial
2019,DELAWARE,"78,331",36,"8,369",Commercial
2019,MAINE,"8,975,045","4,071","2,475,485",Commercial
2019,MARYLAND,"4,309,025","1,955","648,772",Commercial
2019,MASSACHUSETTS,"6,964,323","3,159","1,314,355",Commercial
2019,NEW HAMPSHIRE,"4,540,800","2,060","791,716",Commercial
2019,NEW JERSEY,"77,981,508","35,372","13,716,196",Commercial
2019,NEW YORK,"973,953",442,"177,738",Commercial
2019,NORTH CAROLINA,"551,849",250,"138,037",Commercial
2019,RHODE ISLAND,"66,669",30,"16,163",Commercial
2020,CONNECTICUT,"217,110",98,"102,380",Commercial
2020,DELAWARE,"161,125",73,"15,985",Commercial
2020,MAINE,"10,896,429","4,943","2,801,787",Commercial
2020,MARYLAND,"3,492,261","1,584","966,247",Commercial
2020,MASSACHUSETTS,"8,821,142","4,001","7,937,229",Commercial
2020,NEW HAMPSHIRE,,,,Commercial
2020,NEW JERSEY,"90,583,260","41,088","51,472,734",Commercial
2020,NEW YORK,"4,400,250","1,996","849,893",Commercial
2020,NORTH CAROLINA,"599,742",272,"123,443",Commercial
2020,RHODE ISLAND,"198,487",90,"30,896",Commercial
2021,CONNECTICUT,"179,177",81,"38,553",Commercial
2021,DELAWARE,"37,081",17,"4,020",Commercial
2021,MAINE,"36,890,619","16,733","57,086,489",Commercial
2021,MARYLAND,"4,020,789","1,824","644,003",Commercial
2021,MASSACHUSETTS,"9,916,257","4,498","2,485,960",Commercial
2021,NEW HAMPSHIRE,"4,807,900","2,181","1,697,400",Commercial
2021,NEW JERSEY,"80,406,180","36,472","16,608,010",Commercial
2021,NEW YORK,"3,424,785","1,553","569,053",Commercial
2021,NORTH CAROLINA,"430,623",195,"116,007",Commercial
2021,RHODE ISLAND,"3,575,154","1,622","536,806",Commercial
2022,CONNECTICUT,"299,252",136,"67,664",Commercial
2022,DELAWARE,"52,929",24,"136,408",Commercial
2022,MAINE,"20,348,163","9,230","8,856,066",Commercial
2022,MARYLAND,"4,982,957","2,260","862,810",Commercial
2022,MASSACHUSETTS,"10,425,267","4,729","4,078,897",Commercial
2022,NEW HAMPSHIRE,"4,986,600","2,262","1,996,040",Commercial
2022,NEW JERSEY,"48,029,602","21,786","11,653,571",Commercial
2022,NEW YORK,"1,095,609",497,"336,365",Commercial
2022,NORTH CAROLINA,"539,499",245,"166,501",Commercial
2022,RHODE ISLAND,"617,151",280,"243,983",Commercial
2023,CONNECTICUT,"202,157",92,"50,645",Commercial
2023,DELAWARE,"46,971",21,"22,604",Commercial
2023,MAINE,"14,198,455","6,440","6,355,503",Commercial
2023,MARYLAND,"3,125,593","1,418","654,843",Commercial
2023,MASSACHUSETTS,"2,980,815","1,352","893,019",Commercial
2023,NEW HAMPSHIRE,"4,375,900","1,985","1,408,295",Commercial
2023,NEW JERSEY,"41,101,646","18,644","5,526,532",Commercial
2023,NEW YORK,"450,199",204,"117,740",Commercial
2023,NORTH CAROLINA,"619,374",281,"166,470",Commercial
2023,RHODE ISLAND,"159,875",73,"58,088",Commercial
2024,CONNECTICUT,"49,896",23,"16,541",Commercial
2024,DELAWARE,"46,279",21,"11,749",Commercial
2024,MAINE,"14,357,550","6,513","6,078,155",Commercial
2024,MARYLAND,,,,Commercial
2024,MASSACHUSETTS,"12,346,376","5,600","3,755,903",Commercial
2024,NEW HAMPSHIRE,,,,Commercial
2024,NEW JERSEY,"48,215,408","21,870","6,540,083",Commercial
2024,NEW YORK,"983,485",446,"246,221",Commercial
2024,NORTH CAROLINA,"359,167",163,"96,243",Commercial
2024,RHODE ISLAND,"1,904,865",864,"685,360",Commercial
