Year,Coast,Subregion,State,Common Name,Pounds,Live Pounds,Dollars,% Display
2003,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,148575,148575,21129,100%
2003,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,,,,0%
2003,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,46515,46515,4655,100%
2003,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,420062,420062,54607,100%
2003,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,20450091,20450091,2139746.33,100%
2003,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,4231660,4231660,390055.15,100%
2003,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,48936502.17,48936502.17,3936206.37,100%
2002,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,1138788,1138788,291534,100%
2002,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,,,,0%
2002,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,,,,0%
2002,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,,,,0%
2002,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,4850391,4850391,451707.96,100%
2002,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,24725015,24725015,1606481.36,100%
2002,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,6480,6480,1065,100%
2002,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,69190595.51,69190595.51,5050119.82,100%
2001,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,,,,0%
2001,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,296116,296116,30523,100%
2001,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,56012396.01,56012396.01,4543674.47,100%
2001,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,487143843,487143843,42570757.8,100%
2001,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,26375573,26375573,2205139.52,100%
2001,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,38865,38865,9722,100%
2001,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,,,,0%
2001,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,,,,0%
2000,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,,,,0%
2000,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,4870835,4870835,563778.5,100%
2000,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,,,,0%
2000,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,31266780,31266780,2218638.6,100%
2000,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,320000,320000,19200,100%
2000,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,14423,14423,1444,100%
2000,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,282920,282920,70202,100%
2000,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,56280111.91,56280111.91,3491705.69,100%
1999,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,,,,0%
1999,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,42799080.34,42799080.34,2673922.62,100%
1999,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,904200,904200,36168,100%
1999,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,,,,0%
1999,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,5721212,5721212,463483,100%
1999,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,31036717,31036717,2429283,100%
1999,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,30298,30298,4550,100%
1999,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,11511,11511,2917,100%
1999,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,78551,78551,7034,100%
1998,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,33287641,33287641,2980128,100%
1998,US Atlantic Coast,North Atlantic,NEW HAMPSHIRE,MENHADENS,9,9,5,100%
1998,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,4463884,4463884,426307,100%
1998,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,58048,58048,6155,100%
1998,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,338817,338817,50829,100%
1998,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,508727795,508727795,40744067,100%
1998,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,29334,29334,3453,100%
1998,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,57976454.66,57976454.66,4122200.78,100%
1998,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,,,,0%
1997,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,,,,0%
1997,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,553953,553953,55604,100%
1997,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,38118579,38118579,2990322,100%
1997,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,55733,55733,6242,100%
1997,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,497160943,497160943,30035360,100%
1997,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,,,,0%
1997,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,72329,72329,10865,100%
1997,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,97727056.87,97727056.87,8795429.08,100%
1996,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,53850943.01,53850943.01,4886681.12,100%
1996,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,11135,11135,1215,100%
1996,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,100823,100823,10098,100%
1996,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,35516726,35516726,2288850,100%
1996,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,,,,0%
1996,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,,,,0%
1996,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,,,,0%
1996,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,82851,82851,12437,100%
1996,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,,,,0%
1995,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,255664,255664,30679,100%
1995,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,,,,0%
1995,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,,,,0%
1995,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,36578407,36578407,1942323,100%
1995,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,58374080.5,58374080.5,3560953.39,100%
1995,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,5873315,5873315,300487,100%
1995,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,1087978,1087978,152379,100%
1995,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,704447463,704447463,42470929,100%
1995,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,101300,101300,10139,100%
1994,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,38329332,38329332,1997503,100%
1994,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,513269659,513269659,31006486,100%
1994,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,100000,100000,5000,100%
1994,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,,,,0%
1994,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,73853901.37,73853901.37,3178605.13,100%
1994,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,78700,78700,7867,100%
1994,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,3512417,3512417,891430,100%
1994,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,45825,45825,6366,100%
1993,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,1332000,1332000,53065,100%
1993,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,164100,164100,9850,100%
1993,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,19520455,19520455,1338385,100%
1993,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,3085698,3085698,264071,100%
1993,US Atlantic Coast,North Atlantic,NEW HAMPSHIRE,MENHADENS,3710,3710,557,100%
1993,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,64711384,64711384,1954299,100%
1993,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,28296741,28296741,1391108,100%
1993,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,1048993,1048993,119609,100%
1993,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,639324195,639324195,38392282,100%
1993,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,199591,199591,9980,100%
1993,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,6479380,6479380,328712,100%
1992,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,6606593,6606593,263749,100%
1992,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,57515712,57515712,1744030,100%
1992,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,14857195,14857195,910046,100%
1992,US Atlantic Coast,North Atlantic,NEW HAMPSHIRE,MENHADENS,25920,25920,1495,100%
1992,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,2861434,2861434,117663,100%
1992,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,91200,91200,4560,100%
1992,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,2295039,2295039,185838,100%
1992,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,27470906,27470906,1288804,100%
1992,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,1131701,1131701,126842,100%
1992,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,574826830,574826830,28712218,100%
1992,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,105700,105700,5305,100%
1991,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,650150,650150,64805,100%
1991,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,601187849,601187849,30032372,100%
1991,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,110528754,110528754,3002829,100%
1991,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,280100,280100,14005,100%
1991,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,96300,96300,4815,100%
1991,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,5186160,5186160,211012,100%
1991,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,6326300,6326300,271055,100%
1991,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,16597402,16597402,754620,100%
1991,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,16107463,16107463,1263781,100%
1991,US Atlantic Coast,North Atlantic,NEW HAMPSHIRE,MENHADENS,204000,204000,8160,100%
1991,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,3540179,3540179,547654,100%
1990,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,9041459,9041459,537697,100%
1990,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,649710,649710,68955,100%
1990,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,704564911,704564911,35126005,100%
1990,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,96706,96706,4837,100%
1990,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,1361900,1361900,57086,100%
1990,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,2634223,2634223,204727,100%
1990,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,5744597,5744597,484590,100%
1990,US Atlantic Coast,North Atlantic,NEW HAMPSHIRE,MENHADENS,264500,264500,5880,100%
1990,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,17102650,17102650,774253,100%
1990,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,140500,140500,8429,100%
1990,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,72231989,72231989,1820654,100%
1989,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,66756288,66756288,1808906,100%
1989,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,449100,449100,39478,100%
1989,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,612162300,612162300,29101230,100%
1989,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,1454400,1454400,70063,100%
1989,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,19033200,19033200,841127,100%
1989,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,2854500,2854500,208520,100%
1989,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,90500,90500,4455,100%
1989,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,380600,380600,9231,100%
1989,US Atlantic Coast,North Atlantic,NEW HAMPSHIRE,MENHADENS,5200,5200,572,100%
1989,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,6166000,6166000,387437,100%
1989,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,148500,148500,7420,100%
1988,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,19687800,19687800,411669,100%
1988,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,127700,127700,8107,100%
1988,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,6430200,6430200,358839,100%
1988,US Atlantic Coast,North Atlantic,NEW HAMPSHIRE,MENHADENS,4556,4556,911,100%
1988,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,15603400,15603400,800071,100%
1988,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,8043400,8043400,370469,100%
1988,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,1984200,1984200,150646,100%
1988,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,504100,504100,41558,100%
1988,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,550556300,550556300,27591470,100%
1988,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,192700,192700,21710,100%
1988,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,73715713,73715713,2566832,100%
1987,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,22100,22100,1478,100%
1987,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,5793700,5793700,349763,100%
1987,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,2563300,2563300,190492,100%
1987,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,206795,206795,23918,100%
1987,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,615523000,615523000,30732694,100%
1987,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,94900,94900,4745,100%
1987,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,1216200,1216200,36624,100%
1987,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,18668600,18668600,347500,100%
1987,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,17109200,17109200,825390,100%
1987,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,55498571,55498571,1624511,100%
1986,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,22614600,22614600,380826,100%
1986,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,10389200,10389200,415528,100%
1986,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,20100,20100,1202,100%
1986,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,5449400,5449400,361787,100%
1986,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,,,,0%
1986,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,399650,399650,45626,100%
1986,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,445674400,445674400,22815277,100%
1986,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,254400,254400,12720,100%
1986,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,3420100,3420100,148479,100%
1986,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,2453600,2453600,180629,100%
1985,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,639517500,639517500,29125145,100%
1985,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,176200,176200,14096,100%
1985,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,5371800,5371800,278082,100%
1985,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,2879800,2879800,177862,100%
1985,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,,,,0%
1985,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,234800,234800,11740,100%
1985,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,3042600,3042600,150325,100%
1985,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,33192800,33192800,677403,100%
1985,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,8388000,8388000,539868,100%
1985,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,901800,901800,99523,100%
1984,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,208000,208000,14560,100%
1984,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,5363800,5363800,269320,100%
1984,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,157667480,157667480,4745831,100%
1984,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,2293000,2293000,155219,100%
1984,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,3970000,3970000,302759,100%
1984,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,485834900,485834900,25320859,100%
1984,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,186900,186900,9345,100%
1984,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,59517900,59517900,1190868,100%
1984,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,17806000,17806000,401679,100%
1984,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,692500,692500,69749,100%
1983,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,129500,129500,6475,100%
1983,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,177973440,177973440,6167878,100%
1983,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,45924800,45924800,798343,100%
1983,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,41000,41000,2460,100%
1983,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,644713200,644713200,28392913,100%
1983,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,6605800,6605800,259129,100%
1983,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,120800,120800,5624,100%
1983,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,1581600,1581600,100572,100%
1983,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,216300,216300,15694,100%
1983,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,42448100,42448100,845981,100%
1982,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,598631000,598631000,26724000,100%
1982,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,171100,171100,8555,100%
1982,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,23079600,23079600,504500,100%
1982,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,47894600,47894600,968487,100%
1982,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,394300,394300,24462,100%
1982,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,58300,58300,4370,100%
1982,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,8946400,8946400,531886,100%
1982,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,187015090,187015090,5773042,100%
1982,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,1637400,1637400,125075,100%
1982,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,7008000,7008000,109562,100%
1981,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,12264100,12264100,292475,100%
1981,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,10701100,10701100,632017,100%
1981,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,23000,23000,356,100%
1981,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,309414710,309414710,10038759,100%
1981,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,35397300,35397300,808517,100%
1981,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,533200,533200,30103,100%
1981,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,400708000,400708000,17152000,100%
1981,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,151400,151400,9081,100%
1981,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,103280400,103280400,4057200,100%
1980,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,45800,45800,3206,100%
1980,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,196920370,196920370,7139327,100%
1980,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,8716300,8716300,471715,100%
1980,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,120018000,120018000,5895000,100%
1980,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,18805900,18805900,450475,100%
1980,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,43351000,43351000,952888,100%
1980,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,881700,881700,47205,100%
1980,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,99500,99500,4987,100%
1980,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,537222100,537222100,26961126,100%
1979,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,47700,47700,2862,100%
1979,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,5608100,5608100,265556,100%
1979,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,103280500,103280500,3288883,100%
1979,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,712500,712500,38996,100%
1979,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,254329990,254329990,8059572,100%
1979,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,100200,100200,6996,100%
1979,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,29040700,29040700,732091,100%
1979,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,30005300,30005300,759979,100%
1979,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,7388600,7388600,152298,100%
1979,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,455360000,455360000,22632765,100%
1978,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,85100,85100,5021,100%
1978,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,49046900,49046900,1165090,100%
1978,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,6959900,6959900,173996,100%
1978,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,13181600,13181600,281075,100%
1978,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,420813400,420813400,7608624,100%
1978,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,7115900,7115900,291665,100%
1978,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,82428200,82428200,2599317,100%
1978,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,239600,239600,12556,100%
1978,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,192324170,192324170,7498037,100%
1978,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,29700,29700,1485,100%
1977,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,8381100,8381100,289816,100%
1977,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,97508900,97508900,3444730,100%
1977,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,851300,851300,42106,100%
1977,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,501273600,501273600,19858697,100%
1977,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,158119300,158119300,4369012,100%
1977,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,17410200,17410200,400902,100%
1977,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,3290000,3290000,71062,100%
1977,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,10070700,10070700,206623,100%
1977,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,24600,24600,984,100%
1977,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,106600,106600,5330,100%
1976,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,1013500,1013500,43013,100%
1976,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,440760700,440760700,12998775,100%
1976,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,153200,153200,7655,100%
1976,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,28594200,28594200,465070,100%
1976,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,150437500,150437500,4303232,100%
1976,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,12712900,12712900,194314,100%
1976,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,134902400,134902400,4534354,100%
1976,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,35300,35300,1404,100%
1976,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,5379700,5379700,182326,100%
1976,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,17552600,17552600,299775,100%
1975,US Atlantic Coast,North Atlantic,MASSACHUSETTS,MENHADENS,20815400,20815400,274599,100%
1975,US Atlantic Coast,North Atlantic,MAINE,MENHADENS,13958300,13958300,195416,100%
1975,US Atlantic Coast,North Atlantic,RHODE ISLAND,MENHADENS,15577600,15577600,194557,100%
1975,US Atlantic Coast,South Atlantic,NORTH CAROLINA,MENHADENS,153805200,153805200,3258977,100%
1975,US Atlantic Coast,North Atlantic,CONNECTICUT,MENHADENS,515300,515300,25198,100%
1975,US Atlantic Coast,Mid-Atlantic,MARYLAND,MENHADENS,6105900,6105900,163300,100%
1975,US Atlantic Coast,Mid-Atlantic,NEW JERSEY,MENHADENS,65933800,65933800,1719176,100%
1975,US Atlantic Coast,Mid-Atlantic,NEW YORK,MENHADENS,1076400,1076400,42135,100%
1975,US Atlantic Coast,Mid-Atlantic,VIRGINIA,MENHADENS,315783300,315783300,7717046,100%
1975,US Atlantic Coast,Mid-Atlantic,DELAWARE,MENHADENS,20500,20500,821,100%
